ma_sp,ten,hang,pham_vi_min,pham_vi_max,gia,gia_goc,do_on_db,cspf,sao,inverter,lam_lanh_nhanh,loai_may
MAU-021,Alpha 126,Alpha,0.0,15.0,5590000,5590000,44,5.94,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-022,Delta 924,Delta,0.0,15.0,6940000,7430000,36,,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-023,Epsil 508,Epsil,15.0,20.0,10510000,12050000,24,6.04,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-024,Bravo 293,Bravo,15.0,20.0,13220000,13220000,40,5.36,4.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-025,Alpha 264,Alpha,15.0,20.0,13060000,13060000,45,5.55,5.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-026,Bravo 452,Bravo,15.0,20.0,11970000,11970000,29,4.24,3.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-027,Delta 593,Delta,15.0,20.0,15690000,15690000,30,5.4,4.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-028,Epsil 195,Epsil,15.0,20.0,15870000,15870000,28,,3.0,0,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-029,Cosmo 460,Cosmo,15.0,20.0,15720000,15720000,45,6.01,5.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-030,Cosmo 669,Cosmo,15.0,20.0,13510000,13510000,39,4.33,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-031,Bravo 198,Bravo,15.0,20.0,13410000,13410000,41,4.4,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-032,Bravo 208,Bravo,15.0,20.0,8130000,8130000,38,6.41,5.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-033,Cosmo 114,Cosmo,15.0,20.0,8170000,8170000,28,4.48,3.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-034,Cosmo 690,Cosmo,15.0,20.0,7250000,7660000,38,4.37,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-035,Cosmo 513,Cosmo,15.0,20.0,12290000,12290000,23,6.14,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-036,Bravo 613,Bravo,15.0,20.0,11970000,11970000,31,4.36,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-037,Cosmo 124,Cosmo,15.0,20.0,17440000,17440000,32,6.21,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-038,Cosmo 426,Cosmo,15.0,20.0,17560000,17560000,40,4.37,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-039,Alpha 733,Alpha,15.0,20.0,11100000,11100000,25,6.17,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-040,Alpha 692,Alpha,15.0,20.0,11220000,11220000,23,5.97,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-041,Delta 655,Delta,20.0,30.0,15830000,15830000,25,4.66,4.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-042,Epsil 590,Epsil,20.0,30.0,17080000,18350000,29,4.07,3.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-043,Cosmo 943,Cosmo,20.0,30.0,20410000,22030000,43,4.11,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-044,Cosmo 742,Cosmo,20.0,30.0,20330000,20330000,42,4.17,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-045,Delta 992,Delta,20.0,30.0,15550000,15550000,40,4.45,3.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-046,Cosmo 467,Cosmo,20.0,30.0,15720000,15720000,27,3.75,3.0,0,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-047,Delta 743,Delta,20.0,30.0,19590000,19590000,27,5.74,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-048,Delta 914,Delta,20.0,30.0,27210000,27210000,39,4.54,3.0,0,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-049,Bravo 118,Bravo,20.0,30.0,17960000,17960000,40,4.41,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-050,Epsil 931,Epsil,20.0,30.0,12710000,12710000,45,5.62,5.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-051,Bravo 855,Bravo,20.0,30.0,12300000,13680000,29,4.08,3.0,0,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-052,Bravo 293,Bravo,20.0,30.0,16690000,16690000,45,5.07,4.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-053,Alpha 895,Alpha,30.0,40.0,32960000,32960000,41,3.77,3.0,0,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-054,Epsil 627,Epsil,30.0,40.0,26680000,30320000,43,,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-055,Alpha 208,Alpha,30.0,40.0,18740000,21270000,28,4.16,3.0,0,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-056,Delta 585,Delta,30.0,40.0,33650000,36740000,25,4.9,4.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-057,Alpha 453,Alpha,30.0,40.0,24940000,24940000,44,6.45,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-058,Alpha 675,Alpha,40.0,60.0,46080000,53340000,32,3.47,3.0,0,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-059,Delta 456,Delta,40.0,60.0,35300000,35300000,39,4.66,4.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-060,Cosmo 772,Cosmo,40.0,60.0,54100000,54100000,40,4.46,3.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
